,post_title,summary_post_content
770,มีใครเคยลาออกจากตำแหน่งหัวหน้างาน เงินเดือนโอเค เพราะงานเครียด งานหนัก และกดดันบ้างมั้ยคะ เสียดายกันมั้ย?,อยากทราบว่ามีใครเคยเจอเหตุการณ์แบบนี้บ้าง แต่งานเยอะและมีความกดดันเรื่องเวลา พร้อมทั้งต้องดูน้องในทีมด้วย ซึ่งส่งผลให้นอนไม่ค่อยหลับ แล้วชีวิตตอนนี้เป็นไงบ้าง ขอบคุณสำหรับคำแนะนำค่ะ และอารมณ์ดิ่งเรื่อยๆ กังวล แล้วคุณตัดสินยังไงคะ
771,[กระทู้ปรึกษา] ได้รับทุนไปเรียนต่อ แต่งานปัจจุบันก็ดีอยู่แล้ว ควรจะรับทุนไปเรียนดีมั้ยครับ,หน่วยงานที่ต้องกลับมาใช้ทุนนั้นเรทเงินเดือนเริ่มต้นสำหรับป.เอกอยู่ที่ประมาณ เพราะการรับทุนรัฐบาลไปเรียนต่อนั้นมีเงื่อนไขที่ต้องกลับมาใช้ทุนเป็นระยะเวลาอย่างน้อย ตอนนี้สอบผ่านได้รับทุนรัฐบาลเพื่อไปศึกษาต่อป.เอกที่ต่างประเทศ หมื่นบาท(เป็นหน่วยงานในกำกับของรัฐซึ่งไม่ใช่ราชการ)ซึ่งน้อยกว่าเงินเดือนปัจจุบันพอสมควร และต้องกลับมาใช้ทุนเป็นระยะเวลา ซึ่งคำนวณแล้วส่วนต่างเงินเดือนที่หายไปก็หลายล้านบาทอยู่ ตอนนี้ค่อนข้างลังเลครับว่าจะเซ็นสัญญารับทุนดีรึเปล่า เอาจริงตอนนี้ในใจค่อนข้างอยากไปครับแต่ก็ยังแอบเสียดายเงินที่จะหายไป แล้วการไปเรียนต่อปริญญาเอกทีต่างประเทศนั้นเป็นสิ่งที่ตั้งใจและเป็นเป้าหมายหนึ่งที่อยากทำมานานแล้ว จากสถาบันที่มีชื่อเสียงจากต่างประเทศก็อาจจะเป็นใบเบิกทางที่ดีในระยะยาว(รึเปล่า) จะมองย้อนกลับมาแล้วเสียดายที่ไม่ได้ไปให้สุดมั้ย ขอละเคสทุนให้เปล่าหรือทุนของมหาวิทยาลัยไปก่อน (บริษัทปรับฐานเงินเดือนปีละ ยังไม่นับรวมที่ว่ากว่าจะเรียนจบกลับมานั้นอย่างเร็วที่สุดก็คือ เงินเดือนจะบวกขึ้นกว่านี้อีกมาก เท่าของระยะเวลาที่ไปศึกษา หมื่นบาท/เดือน ซึ่งระยะเวลานั้นหากทำงานต่อ ถ้าเลือกรับทุน ก็เหมือนได้ปลดล็อกเป้าหมายในชีวิตอย่างหนึ่ง ถ้าเลือกไม่รับทุน ปรึกษาคนรอบตัวหลาย 3-4 เลยอยากมาตั้งกระทู้ปรึกษาเผื่อจะได้ความคิดเห็นในหลาย ขอพูดถึงเฉพาะการรับทุนรัฐบาลนะครับ ปัจจุบันจขกท.จบปริญญาโททำงานทางด้าน อย่างเคสของจขกท. 5%) อาจต้องแลกมากับการเสียรายได้ในช่วง ปีจากนี้คงทำเงินได้มากกว่ามาก รายได้ปัจจุบันประมาณ 5 มีหลายปัจจัยที่ทำให้ต้องคิดทบทวน 2 3 ปีเป็นอย่างต่ำ ปีเป็นอย่างต่ำ 4 2 10 10 คน เสียงก็ค่อนข้างแตก IT ถ้าไปเรียน phd อย่างเดียวอาจจะใช้เวลาประมาณ 6 ซึ่งจากการสอบถามมา คร้ังละอย่างน้อย PhD แน่นอนว่าในช่วง 20 30 ปีข้างหน้า แง่มุมจากหลาย ท่านครับ ปล.
772,สถานะแบบเรา สถานการณ์ Covid แบบนี้ บ้านราคา 3.8 M เกินตัวไปมั้ยคะ,ถ้าไปผ่อนบ้านคงกินเที่ยวไม่สบายเหมือนเดิมแน่ๆ แถมพ่อบอกว่าจะช่วยผ่อนบางส่วนในช่วงแรกด้วย คอนโดปากซอยตอนนี้ขายที่ เราผ่อนไม่ไหวแน่ๆ เเต่ตอนนี้เราลังเลมาก แอบเสียดายคุณภาพชีวิตตอนนี้ด้วย แต่ก็กลัวจะผ่อนไม่ไหวค่ะ ทาวน์โฮมที่จองไว้เข้าซอยไปอีกกิโลเดียวขาย ตอนนี้ตัดสินใจไม่ถูกเลย และถ้าก็ผ่านจะผ่อนไหวมั้ย ตอนนี้อายุ เงินเดือนตอนนี้ ตอนนี้มีเงินเก็บประมาณ อยากกินอะไรก็กินใช้อะไรก็ใช้ มีแต่เราเกาะเค้ากิน เงินเกษียณก็ต้องให้เค้าเก็บไว้ใช้ อยู่บ้านกับพ่อเเม่เกษียณแล้ว ไมมีผ่อนอะไรเลย ไม่รู้จะได้ปรับเงินเดือนขึ้นตลอดไปมั้ย เรารู้ว่าช่วงนี้ดอกเบ็ยถูก แถมถ้าดอกเบี่ยขึ้นแพงๆ จะรบกวนพ่อก็ไม่ได้ 8k 3k เป็นทาวนฺโฮมค่ะ พ่อถูกใจมาก ค่อนข้างมั่นคงคงไม่เปลี่ยนงาน โบนัสปกติได้หลายเดือนอยู่ แต่พอมีโควิดคงงดจ่ายยาว สมทบเงินเข้า ฝากสหกรณ์เดือนละ 500k มีเงินใช้จ่ายประมาณนึง ห่างจากที่ทำงานขับรถไม่เกิน เเต่เราไม่ขับรถ ได้มาคงมีค่าต่อเติมอีกประมาณนึง อยากแยกออกมาอยุ่เองเหมือนกัน ถึงจะงานมั่นคงก็เถอะ โควิดกระทบหน่วยงานเราเต็มๆเลย จะกู้ผ่านมั้ยไม่รู้ เค้าไม่มีรายได้แล้ว ทำงานรัฐวิสาหกิจที่เดิมมา ปีแล้ว 8-10% เที่ยวต่างประเทศตลอด ปีละครั้ง ไม่ก็มอเตอร์ไซคเอา M วางเงินจองไปแล้ว อยากได้บ้านก็อยากเพราะที่บ้านมีพี่น้องหลายคน ปีแรก แบงค์น่าจะให้โปรดีอยู่ เราอยากซื้อคอนโดมากกว่า เพราะกะอยู่คนเดียวอยู่แล้ว M M บอกประวัติก่อนนะคะ 30K เพราะงั้นไปต้องคิดถึง 15% ที่เหลือใช้ตามสบายค่ะ ไม่เคยรบกวนเรา อาทิตย์ก่อนไปดูบ้านมา ทำเลถือว่าดีมาก 15 3.8 เอายังไงดี 3 แล้วค่อยรีไฟแนนซ์เอา แต่สถานการณ์ก็ไม่แน่นอน 3.8 เอาไงดีคะ ตัดสินใจไม่ถูกเลยค่ะ 34 6 ปรับขึ้นทุกปีประมาณ ภาระไม่มีค่ะ PVD เต็ม ช่วยน้ำ ไฟบ้าน 555 เป็นบ้านโครงการใหม่ ใกล้บ้านเดิม นาที คงต้องพึ่งจักรยาน แต่ก็ไม่ลำบากอะไร ราคาบ้าน เกิดมาไม่เคยเป็นหนี้ระยะยาวเลย แต่ที่บ้านไม่เห็นด้วย 2 แต่พื้นที่ก็เยอะกว่าเยอะเลย
773,มีใคร หรือ คนรู้จัก ที่คุณรู้ว่า..เงินเดือน ต่อเดือนในการทำงานเกิน (หลักแสน) ไหม งานมันหนัก หรือ เหนื่อย มากแค่ไหน,ก็หลักหมื่น แล้วคนที่เงินเดือนหลักแสน ไม่มีทางขึ้นหลักแสน 7หมื่นก็เก่งแล้ว งานมันหนักขนาดไหน?นะ รายได้ต่อเดือน หลักแสนขึ้น เหนื่อยมากไหม? ไม่เอารายได้อื่นๆๆเสริม งานเหล่านี้ที่ทำ รับผิดชอบมากไหม ยอมจ้างคุณขนาดนี้ ต่อให้เก่งแค่ไหน? อันนี้สายงานเรานะ 2แสน 3แสน สายงานเรา แต่เหนื่อยมาก 2แสน 3แสน ต่อเดือน 14:03 ทำงานที่เดียว แสนอัพๆ บลาๆๆ เราอยากรู้ว่า ที่บริษัท วิชาชีพเราสูงสุดไม่เกินแสน แก้ไขข้อความเมื่อ 20 สิงหาคม 2562 เวลา น.
774,เงินเดือน 34K อายุ 29 ผ่อนบ้าน+รถ ไหวไหม ?,"(ขอยึดแต่ฐานเงินเดือนอย่างเดียว) อยากจะปรึกษาผู้เชี่ยวชาญหรือผู้มีประสบการณ์ในการผ่อนสิ่งดังกล่าว พอดีผมมีโครงการจะผ่อนรถ และฐานเงินเดือนแบบไม่รวมค่าอื่นๆ โดยรวมประมาณนี้เลยอยากจะปรึกษาเพื่อนๆ ปล.โดยส่วนตัวตอนนี้ขาวสะอาด พร้อมกับผ่อนบ้านไปด้วย ปัจจุบันผมมีอายุ 34K ที่มีประสบการณ์ทางด้านนี้ ว่าพอไหวไหม ไม่มีหนี้สินแม้แต่บาทเดียวครับ หรือเพื่อนๆ สวัสดีครับ ,,, ตามหัวเรื่องครับ 12,000/เดือน (6 4,000/เดือน (30 29 หรือมันจะเหนื่อยๆ มีข้อแนะนำอื่นๆ สามารถแนะนำมาได้นะครับ"
775,การทำงานเป็นข้าราชการ ถือว่าเป็นการลงทุนเพื่อให้ได้ passive income หรือเปล่าคะ,
776,ถ้าความเกียจคร้านป็นสิ่งไม่ดี ทำไมเวลาขี้เกียจมันถึงรู้สึกดีอย่างบอกไม่ถูก?,ไม่เชื่อลองเปรียบเทียบชีวิตความเป็นอยู่ของคนขยันกับคนขี้เกียจดูได้ ทำไมผมและคนไทยจำนวนมากถึงมีความสุขกับการขี้เกียจ แต่ทำไม...ทำไมเวลาขี้เกียจ ความขี้เกียจเป็นประโยชน์กับมนุษย์ยังไงเหรอครับ ความขยันหมั่นเพียรเป็นหนทางสู่ความก้าวหน้าในหน้าที่การงาน คนขยันดูสดใสมีชีวิตชีวา ดูหนังฟังเพลง มันเป็นสุขยิ่งกว่าการทำงานหรือการศึกษาหาความรู้เป็นไหนๆ บางทีแค่นั่งกระดิกเท้ากินขนมบนโซฟา เผ่าพันธุ์มนุษย์น่าจะวิวัฒนาการจนขยันแบบมด พวกเราทุกคนรู้กันดีว่า มีออร่าขาวอมชมพู ดูซึม กระบวนการวิวัฒนาการของมนุษย์ เวลานอนเล่นมือถือ มีความสุขกับการทำงาน ส่วนความเกียจคร้านก่อให้เกิดผลร้ายอย่างมหาศาล แต่คนขี้เกียจ เวลาตื่นนอน ทั้งๆที่เสาร์-อาทิตย์ได้พักจนเต็มอิ่มแล้ว สิ่งที่รอทำพรุ่งนี้ได้ ทำไมต้องรีบทำวันนี้ด้วยหละครับ? รู้หน้าที่ตัวเอง มันถึงมีความสุขอย่างบอกไม่ถูก มันรู้สึกสบายกว่าลุกจากเตียงทันที ถ้าความขยันขันแข็งเป็นสิ่งดี ถ้าความขยันเป็นประโยชน์ต่อการอยู่รอด พวกเราหลายคนถึงไม่เคยทิ้งมันไป? เอื่อยเฉื่อย เผลอๆอาจอายุสั้น น่าจะคัดสรรให้คนขยันเป็นผู้อยู่รอด 10-20 มันช่วยให้อารมณ์ดียิ่งกว่าไปออกกำลังกายซะอีก ทำไมวันจันทร์ถึงไม่อยากทำงาน รักองค์กร ไม่ต้องมีใครมาคุม ถ้าได้หลับต่ออีก นาที ทำไมพอขยันแล้วมันเครียด มันเหนื่อย ทำไมมันผ่อนคลายอย่างบอกไม่ถูก? แบบผึ้ง
777,ถ้าย้อนเวลากลับไปได้ในวัยประมาณ30ปี..อยากจะแก้ไขอะไรบ้างในชีวิต,หรืออะไรก็ได้ครับ.........ตอนนี้ผมอายุ30ปีไม่มีแฟนและรู้สึกชีวิตว่างเปล่าเป็นมนุษย์เงินเดือนทำงาน-กลับบ้านวนไปและยังหาเป้าหมายในชีวิตไม่เจอ เลยอยากลองถามดูขำๆครับ อยากทราบว่าคนตอบอายุเท่าไหร่ ยังคิดไม่ออกว่าตัวเองในวัย 13:58 เช่นเรื่องของความรัก การงาน ทำงานอดิเรก ทำธุรกิจ บ้าน รถ ท่องเที่ยว 40 50 60+จะเป็นยังไง แก้ไขข้อความเมื่อ 9 มีนาคม เวลา น.
778,เป็นนิติบุคคลคอนโด จิตต้องแข็งขนาดไหนคะ,บางคนก็เป็นธุระจิตอาสาไปซื้อของให้ลูกบ้านคนอื่นๆ คนที่มาทำงานเป็นนิติก็คือพนักงานบริษัทที่ถูกจ้างให้มาทำงานที่คอนโด มีพี่ๆท่านไหนเคยจิตตกกับเรื่องแบบนี้เปล่าคะ เราเป็นลูกบ้านคอนโดแห่งหนึ่งซึ่งเราได้ย้ายเข้ามาอาศัยอยู่ประมาณ เราก็แจ้งนิติให้รับทราบและติดต่อช่างเข้ามาซ่อมแซม เราอยากจะขอแชร์ประเด็นหนึ่งกับลูกบ้านท่านอื่นๆดังนี้ค่ะ เพราะเจอลูกบ้านน่ารักๆ ซึ่งเราเข้าใจนะคะว่าลูกบ้านมาจากหลากหลายที่ เพิ่มเลเวลในการต่อว่าการทำงานของนิติ เรารู้สึกว่ามันทำให้เราจิตตกค่ะ บางคนก็ลดแลกแจกแถมประจำ คือช่วงระยะหลังจะมีกลุ่มลูกบ้านกลุ่มหนึ่งค่ะ ต่อว่าการทำงานของนิติ จิตตกในแง่ที่ว่า ก่อนเราซื้อเราถามตัวเองว่าเรารับได้ไหม ถ้าภายในห้องตรงไหนเราเจอจุดที่ชำรุดหรือมี ลูกบ้านกลุ่มนี้ นี่ที่อยู่อาศัยของเรามันแย่ขนาดนั้นเลยเหรอ จิตใจต้องเข้มแข็งขนาดไหนคะ พอเข้ามาอยู่แล้วเราก็ไม่ได้มีปัญหาอะไรค่ะ หนักสุดคือเรียกชื่อพนักงานด่าเป็นรายบุคคลค่ะ ฉันมาอยู่ที่ๆมันเลวร้ายขนาดนี้เลยเหรอเนี่ย ซึ่งเรารู้สึกว่าเรามีความสุขที่จะอยู่ตรงนี้ค่ะ บางคนก็เอาของมาแจกฟรี แต่ก็ไม่สามารถตัดขาดได้เพราะยังต้องใช้อ่านประกาศข่าวสารจากทางคอนโดอยู่ค่ะ และจากการเสพข่าวสารมากพออยู่แล้ว เราก็สังเกตว่ากลุ่มคนที่ด่าจะเป็นกลุ่มเดิมๆค่ะ เราเลยพยายามเอาตัวเองออกจากตรงนั้นค่ะ ตอนกลางวันออกไปทำงาน ตอนเย็นกลับมานอนพักผ่อน เพราะได้มาอ่านถ้อยคำด่าทอ เค้าจะรู้สึกยังไงคะ แต่ส่วนพื้นที่ตรงนั้นเราพยายามเลี่ยงค่ะ ด้วยความที่เราอาจจะอ่อนประสบการณ์ในการพักอาศัยในคอนโดค่ะ และมาเช่าอพาร์ทเมนต์ใกล้ที่ทำงาน แต่สิ่งที่เราเจอก็คือ มันเหมือนพลังงานลบในคอนโดค่ะ เราได้ศึกษาข้อดี ก่อนหน้านี้เราอยู่บ้านกับครอบครัว พยายามโพสต์ในกลุ่มสนทนาของคอนโด มีสิ่งที่พอใจบ้าง ไม่พอใจบ้าง แล้วช่วงนี้เป็นช่วงโรคระบาดด้วย เราก็หดหู่จากการใช้ชีวิตประจำวัน ความไม่พึงพอใจต่างๆนานา เราเคยลองคิดมุมกลับว่า เราจะร้องไห้ทุกวันป่าวเนี่ย มาอยู่ในกลุ่มซื้อขายของกินของใช้ สวัสดีค่ะ 1 ปี ข้อเสีย ขีดจำกัดของคอนโด defect ก่อนที่จะมาอยู่ที่คอนโดค่ะ ค่อนข้างรุนแรงค่ะ
779,จากใจ HR และผู้สัมภาษณ์งาน ถึง น้องๆที่น่ารัก,แต่อย่าเพิ่งดราม่าในการสัมภาษณ์งานครั้งแรกค่ะลูก บางคนคิดว่าตัวเองจบมหาวิทยาลัยดังแล้วเหนือกว่าคนอื่น ไม่ต้องสวยไม่ต้องหล่อ แต่ดันไปสอนงานเค้าซะงั้น พอจบมาอยากทำงานที่ตัวเองรัก T_T ก็ต้องมีส่งportงานไรงี้ใช่มะ ถ้างานสวยมันก็พรีเซ้นด้วยตัวของมันละ T_T T____T T___T เพราะคนที่เขาสอนงานหนู มากกกกกกกก งานเด่นๆสวยๆ จบแล้วก็จบไป บางคนถามคำตอบคำ หนักสุดเคยเจอบางคนสายครีเอทีฟ บางคนลงประวัติกะผลงานไว้ในเวบ เพราะมันก็มีบางคนที่เค้าอยู่ได้ อย่าเพิ่งถามเรื่องเงินนะ หน้าที่งานมีอะไรบ้าง ไม่ต้องรูปติดบัตรก็ได้ ไม่ต้องดราม่า ไม่ต้องมีคำบรรยายใดๆสักคำให้ลึกซึ้ง~ พี่กลัววันนึงหนูออกไปจะไปด่าพี่ให้คนอื่นฟังเหมือนกัน ก็เพราะหนูมีความสามารถที่จะทำงานได้จ้า เรื่องเงินถามได้ วันที่หนูเริ่มงานวันแรก หนูวาดภาพตัวเองไว้ยังไงบ้างลูก แต่ถ้าเรามาเริ่มงานที่ใหม่ และเขาก็อาจจะมีงานกองโตรออยู่ด้วย ทัศนคติสำคัญพอๆกะความสามารถ บางคนเพิ่งเข้ามาใหม่ ไม่ว่าเราจะจบมหาวิทยาลัยไหน จบเกรดเท่าไหร่ ไม่ต้องน้ำเยอะ ไม่ต้องร่ายยาวเหมือนเรียงความ ยิ้มสวยๆหล่อๆ รูปตัวเองมีแถบดำคาดตามา portที่เราชอบดูที่สุดเลยคือ แต่งตัวไม่ต้องหรูหราก็ได้ คนฟังเค้าทำตัวไม่ถูก มีข้อสงสัยอยากถามเพิ่มไหม แต่เก็บไว้ถามสุดท้ายจะดีสุดจ้ะ แต่หนูต้องให้เกียรติคนที่เขาอยู่มาก่อนนะลูก แถมเวลาเค้าสอนอะไรก็เถียงตลอด เราต้องรับฟังคำพูดคนอื่นนะลูก แต่หนูก็ฟังเค้าไปก่อน โชว์นมก็ไม่เอา อยากโชว์หุ่นจะถ่ายเต็มตัวมาก็ได้ จบม.อะไรก็ได้ ไม่โชว์นม(คือไม่มีไง ตอนเด็กๆชอบวาดรูปค่ะ แค่นี้ก็น่ารักแล้วลูกเอ้ยยยยยยย ในแผนกนี้มีกี่คน บางคนนี้ถามละ ลองทำดูมันจะดีขึ้นเยอะๆๆๆเลยจ้า ถ้าคุณเข้ามาทำงานจริง เชิ้ตขาวสักตัว ถามเบื้องต้นก่อน ความสามารถของหนูเหมาะกับที่นี่ไหม โชว์จุดแข็งของเราไปเลย โชว์มาเลย รูปในResume ก็ถึงเวลานัดสัมภาษณ์ใช่มะ ความประทับใจครั้งแรกอ่ะ มากกว่าที่จะทำตัวหม่นๆ พี่ก็ไม่รู้จะคุยไรต่ออ่ะ ก็จัดเต็มสไตล์ตัวเองมาเลย แต่หนูด่าเจ้านายเก่าให้พี่ฟัง ความสามารถมีอะไรบ้าง ออฟฟิศเราคงรู้สึกสดชื่น ก็เดินออกมาเถอะ กาารเลือกที่ทำงานก็เหมือนกับการเลือกแฟน ถ้าเรารับไม่ได้ก็เดินออกมาดีกว่า เล่าประวัติแค่พอดี ตอนเด็กๆพ่อแม่เลิกกัน ต้องทำงานหาเงินเรียนเอง ไม่ดราม่าน้าาาาาาา เจอมาหมดละ อ่ะมาสายกราฟิก portควรเป็นไฟล์ กะ เราชอบ ใช่มะล้าาา พี่ทำตัวไม่ถูก ถ้าเจอคำถามนี้นะ Resume สมัครตำแหน่งไหน อ่านง่าย ขี้เกียจอ่านนน เคยทำอะไร ถ่ายกับเพื่อนก็ไม่เอาาาา พี่แทบร้อง พื้นหลังสีขาว เกียรตินิยมจะเล่ามาก็ได้ เกรดพี่ก็แอบสนใจมันนิดนึงนะ จะร้อง ดันไม่มีเบอร์โทรไม่มีอีเมล ขอแค่คุณยิ้มสักนิดเมื่อเราเจอกัน คุณจะน่ารักขึ้นมากๆๆๆๆๆ เราจะรู้สึกว่า เราก็โอเคแล้ว หรือใครจะสายแฟ ทัศนคติ ไม่ว่าจะตำแหน่งอะไร 5. พอโตขึ้นเลยลองสอบเข้ามหาลัย และจะทำให้ดีที่สุดค่ะ โอเค 5. ลาพักร้อนได้กี่วัน ช่วยสร้างภาพให้พี่ชื่นใจนิ้สนึง 6.น้องใหม่ในออฟฟิศ อายุน้อยกว่าคนในแผนก พี่อยากให้หนูรู้ว่า มันก็อาจจะไม่ใช่หน้าที่เขา ฝากไว้นะจ๊ะรักหนูๆทุกคน
780,ตอนเย็นนั่งขำน้ำตาไหลกระทู้คนจำที่จอดรถไม่ได้ ตอนหัวค่ำกรรมตามทันน้ำตากรูจะไหล,แล้วรถตรูล่ะมันหายไปไหนหรือจำชั้นจอดผิดหว่า ก็ไปที่ตึกจอดรถชั้นสี่จำได้แม่นว่าจอดชั้นนี้พอไปถึง ไม่น่าจะจำที่จอดไม่ได้เพราะจำแม่นว่าจอดชั้นสี่แต่มันไม่มี บ้าดิจอดในบ้านจะหายได้ไงเดี๋ยวนะไปดูให้.... รถตรูหายไปหายไปไหนไม่รู้สีหน้าเริ่มหดหู่ แต่มันก็ไม่มีไปดูชั้นสองชั้นหกชั้นเจ็ดก็ไม่เจอ ที่เอามาจอดชั้นสี่มันเมื่อวานนี่หว่า ตรูจะทำยังไงshipหายแล้วสิ ชั้นมีข่าวร้ายมากๆอะคือรถหายว่ะกำลังไปแจ้งความโครตซวยเลย เรียกยามมาคุยยามก็ทำหน้าเหมือนกับว่าถ้ารถหาย ยิ่งอ่านเจอพี่คนนึงที่มาจากระยองมาจอดใน น้ำตาจะไหลเกิดมาไม่เคยรถหายวันนี้ต้องไปแจ้งความคันอื่นก็มีตั้งเยอะทำไมต้องเป็นรถตรู เอ้าลองไปดูชั้นห้าเผื่อเจอ เริ่มใจเสียละลองเดินไปดูชั้นสามเผื่อจำผิดจริงๆแต่มันก็ไม่มี ไหมล่ะตรูทำไงดีวะ ยามบอกพี่รีบไปแจ้งความด่วนเลยเดี๋ยวทางนี้จะรีภาพวงจรปิดดู เห็นรถจอดเหลือแค่เก้าคัน เอาล่ะสิตรูเริ่มมึนๆละขำไม่ออก ชั้นสี่เปลี่ยน กรูก็shipหายเหมือนกันนั่นแหละ ทั้งยามทั้งชายชุดดำชุดซาฟารีกำลังวุ่นตามหารถให้เราอยู่เลย กทม.แล้วจำไม่ได้ว่าจอดซอยไห กลายเป็นที่จอดโล่งๆ ก็เนียะมันก็จอดอยู่ที่เดิม มีคนรถหายๆเปลี่ยน หือรถหาย! อ่านพันทิปอยู่ที่ทำงานเห็นกระทู้คนจำที่จอดรถไม่ได้ก็ขำๆดี เออๆงั้นแค่นี้ก่อนเดี๋ยวรีบกลับจ้า ระหว่างเดิน!ลงตึกไปจะโบกแท๊กซี่ไปโรงพักก็ได้แต่ปลอบใจตัวเองมันต้องได้คืนละวะ แต่อนิจจาไม่มีรถตรู ว.ตอบไม่มีไม่เจอเปลี่ยน ดวงเรามันต้องดีสิ ยามเริ่ม อ่านจบไม่คิดอะไรทำงานต่อจนสองทุ่มกว่าๆเลิกงาน ก็เมื่อเช้าเธอรีบก็เลยซ้อนมอไซวินไปนี่นา เออว่ะ ว่าเราลืมว่าไม่ได้ขับรถมามันจะอุ้มเราไปนั่งยางแถวๆราชบุรีป่าววะ ต้องตามหารถอยู่สองวันอันนี้ยิ่งฮาหัวเราะก๊ากๆในออฟฟิศเลย ว.กันให้วุ่น ทั้งๆที่ความคิดในหัวดังก้องว่ารถมันข้ามไปเขมรแล้วทำใจซื้อใหม่เหอะสุดท้าย วันนี้นั่งวินมาทำงาน เอาเหอะสุดท้ายก็ต้องยอมหน้าแตกบอกเขาไป เออ ถ้าเดินไปบอก รถอยู่บ้าน จริงดิ มึนเปล่า
781,ตัดสินใจออกจากงานช่วงโควิด 2564,ที่ผ่านมาเราเป็นห่วงความรู้สึกคนรอบข้างมากกลัวที่บ้านเป็นห่วง ตอนนี้เริ่มจริงจังมากขึ้นเอาเวลามาทุ่มกับขายของออนไลน์ ปีที่ผ่านมาเรายังอยู่ที่เดิมไม่ไปไหน ทำงานเกินเวลาบริษัทไม่ให้ หลายคนที่ทำแล้วออกจากงานนี้ก็คือสุขภาพกาย ช่วงนี้ช่วยกันเก็บเงินซื้อบ้านจากการขายของ ของสายงานที่ทำ ส่วนหนึ่งที่ยังอยู่ได้คือพี่ที่ทำงานที่ซัพพอร์ตและเป็นกำลังใจให้กัน มีขายของออนไลน์เสริม ได้งานใหม่ก็ต้องเป็นบริษัทเหมือนปัจจุบันที่ทำงาน และก๋คิดตลอดว่ามาทำอะไรอยู่ตรงนี้ ด้วยงานที่ทำด้วยโอกาสที่โตน้อยมากแทบจะไม่โต ถ้างานที่อยากทำก็คงเป็น เราก็จะทำควบคู่กันไป ปี ปี แต่ละปีขึ้นไม่ถึงพัน แต่ปัจจุบันสิ่งที่เราได้ตอนนี้คือเสียสุขภาพจิต แต่ปรึกษาที่บ้านเค้าก็กลัวว่าช่วงโควิดยังไม่ควรออก ปี เป็นบริษัทดังอันดับต้น เราแค่จะเปรียบเทียบกับเพื่อนในสายงานอื่นได้ เงินดีๆที่คุ้มกับค่าเหนื่อย บริษัทไม่มีนโยบายไล่ออก คือสามีเราซัพพอร์ตค่าใช้จ่ายทั้งหมด ขายของผ่านหลายช่องทาง คุ้มที่จะเหนื่อย แต่เรารู้สึกว่าเราเหนื่อย เราทำงานบริษัทเอกชนแห่งหนึ่ง ปัจจุบันทำงานมา แต่ตอนนี้ก็จะออกคู่แล้ว เวลา เงินเดือนเริ่มต้น เงินเดือนเพิ่ง รวมค่าคอมประมาณ เรารู้สึกว่าตลอดเกือบ 5 และสุขภาพกายก็แย่จากการทำงาน และสุขภาพจิต ที่ตัดสินใจออกส่วนหนึ่งที่คิดว่าเราโชคดี คอนโดผ่อนหมดแล้ว รถก็ไม่ต้องผ่อนแล้ว เราเองไม่มีภาระค่าใช้จ่ายอะไร แค่ค่ากินข้าว มีเวปไซต์ของตัวเอง เราอยากออกมาเป็นนายตัวเอง หรือถ้าได้งานที่ดีกว่าเดิม 5 เพื่อนๆมีความคิดเห็นว่ายังไงบ้างอยากรู้ค่ะ
